#,Name,State,January Mean,July Mean,Average Temperature,Difference,% Change (2010-2020)
141,Tempe,Arizona,54,90,71.5,36,11.16
142,Santa Rosa,California,49.1,66.9,59,17.8,6.16
143,Elk Grove,California,48.5,76,61,27.5,15.77
144,Ontario,California,55.8,78.9,66.5,23.1,7.07
145,Salem,Oregon,42.1,70.3,54.6,28.2,13.45
146,Cary,North Carolina,40.7,78.6,59.6,37.9,29.22
147,Eugene,Oregon,41.4,67.8,53.1,26.4,11.89
148,Rancho Cucamonga,California,53.8,77.6,65.5,23.8,5.66
149,Oceanside,California,53.6,69.3,61,15.7,4.35
150,Lancaster,California,44.9,82.3,62.1,37.4,10.64
151,Garden Grove,California,58.4,69.3,65.8,10.9,0.74
152,Pembroke Pines,Florida,68.1,84.4,77.3,16.3,10.61
153,Palmdale,California,45,81.2,62,36.2,11.24
154,Springfield,Missouri,34.3,79.2,57.4,44.9,6.44
155,Fort Collins,Colorado,31.7,67,50.8,35.3,17.35
156,Clarksville,Tennessee,37.3,79.5,59.2,42.2,25.36
157,Salinas,California,52.1,63,58.3,10.9,8.80
158,Hayward,California,49.9,65.2,58.8,15.3,13.49
159,Paterson,New Jersey,32.8,78.2,55.5,45.4,9.22
160,Alexandria,Virginia,37.5,81,59.3,43.5,13.93
161,Corona,California,58,77,65,19,3.21
162,Sunnyvale,California,50.1,68.6,59.9,18.5,11.57
163,Springfield,Massachusetts,27.1,74.3,51,47.2,1.86
164,Hollywood,Florida,67.6,82.9,76.1,15.3,8.73
165,Killeen,Texas,47,85,67.5,38,19.27
166,Murfreesboro,Tennessee,37.7,78.8,58.9,41.1,40.17
167,Bellevue,Washington,38.5,66,52,27.5,24.26
168,Pasadena,Texas,55,84.8,71.2,29.8,1.95
169,Pomona,California,55.6,75.9,65,20.3,1.67
170,Escondido,California,56.8,75.8,65.8,19,5.11
171,Charleston,South Carolina,49.5,82.5,66.5,33,25.35
172,Joliet,Illinois,23.9,73.9,50.4,50,1.98
173,Mesquite,Texas,47.8,87.3,68,39.5,7.50
174,Naperville,Illinois,22.5,72,48.5,49.5,5.34
175,Rockford,Illinois,21.8,73.8,49.4,52,-2.53
176,Bridgeport,Connecticut,31.4,75.7,53.4,44.3,3.09
177,Savannah,Georgia,50.7,83,67.5,32.3,8.66
178,Roseville,California,46,78,62,32,24.44
179,Syracuse,New York,24.1,71.8,48.5,47.7,1.51
180,Torrance,California,56.9,69.4,63,12.5,1.30
181,Fullerton,California,57.6,75.2,66.2,17.6,6.07
182,Surprise,Arizona,56.8,95.5,75.6,38.7,21.91
183,McAllen,Texas,62.8,88.6,77.4,25.8,9.52
184,Thornton,Colorado,31.7,75.1,51.2,43.4,19.50
185,Visalia,California,46.7,80.4,63.3,33.7,13.76
186,Denton,Texas,45.2,62.4,65.1,17.2,24.47
187,Kent,Washington,42.3,67.8,53.8,25.5,47.98
